timestamp,transaction_id,customer_id,transaction_total,merchant_category,payment_method,region,total_quantity,total_quantity_7d,reported_transaction_total,is_fraud,reasoning
2025-11-07,238e51ea,56e1c9ce64c04dbc84d1190328fa19ed,3454363,Clothing,Bank Transfer,Semarang,23,20.18,3454363,0,"Neither condition was met. The value 0 is equal to 0, and 1.14 is less than 2.0."
2025-09-20,356084c4,daadf11a7e1b4225874c7bcf65484b1e,9810912,Clothing,Debit Card,Medan,48,56.47,9810912,0,"Neither condition was met. The first condition (0 != 0) is always false, and the second condition (0.85 >= 2.0) is also false. Therefore, no fraud indicators were detected."
2022-04-30,b5cdc01e,97473a3f06d449df8106a7d90da9f925,1545217,Groceries,Debit Card,Medan,99,63.87,1545217,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.55 is less than 2.0 (no significant quantity increase)."
2023-08-06,a4696402,d31b829ab7db4dd9869c2dc6f9c76dd2,3196672,Electronics,Debit Card,Medan,98,73.13,3196672,0,"Neither condition was met. The first condition checks if 0 != 0 (which is false), and the second condition checks if 1.34 >= 2.0 (which is also false)."
2024-08-24,d7646a0c,6a4674d474964237966a843625157f5a,9086975,Groceries,Bank Transfer,Medan,69,72.63,9086975,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and the second condition (0.95 >= 2.0) is also false. Therefore, no indicators of fraud were detected."
2025-07-17,c09a118c,5ba0fa34f9c94a1ba6390c5a9aa64e95,6581154,Groceries,Bank Transfer,Surabaya,36,20.45,6581154,0,"Neither condition is met. 0 equals 0, and 1.76 is less than 2.0."
2023-01-15,30889dbf,7a5701f8338c4e95bf11f171458e5b60,5802525,Electronics,Bank Transfer,Jakarta,62,32.63,5802525,0,"Neither condition is met. The first condition (0 != 0) is always false, and the second condition (1.9 >= 2.0) is also false. Therefore, the transaction is not fraudulent."
2025-04-30,06e2eb97,2a8df14b0389445fa90501359a576d6e,220345,Electronics,Bank Transfer,Bandung,10,6.62,220345,0,"Neither condition is met. 0 equals 0, and 1.51 is less than 2.0."
2023-09-28,4af12fa1,553409b984dd4e8bbe62bd33c3c666cd,6556301,Home & Garden,Credit Card,Jakarta,94,51.65,3343713,1,"The value -3212588 is not equal to 0, indicating a discrepancy between expected and reported transaction totals, which is a strong indicator of potential fraud."
2022-05-15,dddde903,4d22a43b6f954d319245405c4a24e11f,6949934,Electronics,Bank Transfer,Semarang,6,4.84,6949934,0,"Neither condition was met: 0 equals 0 (no discrepancy), and 1.24 is less than 2.0 (no significant quantity increase)."
2025-03-19,79b98522,990452e939f643b181b26343cefc3dd2,2743173,Clothing,Bank Transfer,Medan,19,11.24,2743173,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and 1.69 is less than 2.0, so no fraud indicators were detected."
2021-06-19,1ec54b6c,7e060eae791b481db49728f9b3d449a3,6418470,Electronics,Bank Transfer,Jakarta,25,12.76,6418470,0,"Neither condition was met. 0 equals 0, and 1.96 is less than 2.0."
2025-04-12,13f1d7fa,78783ae956f24d06be1fe8c77d2e4c7f,232303,Electronics,Credit Card,Semarang,25,15.34,232303,0,"Neither condition was met. 0 equals 0, and 1.63 is less than 2.0."
2022-03-28,a2bb79d6,af3e31fcd49247f399339df6c07532de,5583366,Clothing,Bank Transfer,Semarang,87,48.33,5583366,0,"Neither condition is met. The first condition (0 ≠ 0) is always false, and the second condition (1.8 ≥ 2.0) is also false. Therefore, no fraud indicators are present."
2025-02-09,c7ecbd84,497501b584954476803564fb5a8584e9,9155635,Groceries,Bank Transfer,Surabaya,15,21.43,9155635,0,"Neither condition is met. 0 is equal to 0 (no discrepancy), and 0.7 is less than 2.0 (no significant quantity increase)."
2021-08-01,eea0bb3b,4f178a0a191f4788ba09885f0ed04954,1834335,Clothing,PayPal,Jakarta,11,6.47,1834335,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.7 is less than 2.0 (no significant quantity increase)."
2022-05-29,b6555d14,091e74be1c444dab93f3c8dd49b6e948,8331322,Clothing,Credit Card,Jakarta,94,66.2,8331322,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.42 is less than 2.0 (no significant quantity increase)."
2021-06-27,483a2342,4f4c2c69314b45399649be38f9da2779,4135279,Groceries,PayPal,Bandung,61,100.0,4135279,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.61 is >= 2.0 (which is false)."
2023-03-16,d4935b75,90329c2bc7224175807cb91896742baf,810833,Home & Garden,PayPal,Medan,72,62.07,810833,0,"Neither condition was met. The value 0 is equal to 0, and 1.16 is less than 2.0."
2022-11-05,c6c685d6,b12a01c8ac554a75a1c299d41cc18ab8,6058185,Sports,PayPal,Medan,90,76.27,6058185,0,"Neither condition was met. The value 0 is equal to 0, and 1.18 is less than 2.0."
2025-03-26,6de3b95b,2522520437bb4aff83a5568ab1ff0d91,690624,Groceries,Credit Card,Semarang,7,12.28,690624,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.57 is >= 2.0 (which is false). Therefore, no fraud indicators are present."
2023-04-03,541f0a8d,bc2b1f2ab3b84ea98a6fd71d790b309f,1958343,Clothing,Credit Card,Surabaya,17,15.74,1958343,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.08 is less than 2.0 (no significant quantity increase)."
2022-10-11,126bdbab,67ef780031c846569236fc8edc773455,5525145,Electronics,Bank Transfer,Semarang,32,38.1,5525145,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.84 is >= 2.0 (which is false). Therefore, no fraud indicators are present."
2023-09-10,b10b1957,3f0a7ad0057246dabd737ce01f855e70,2553294,Electronics,Bank Transfer,Surabaya,61,68.54,2553294,0,"Neither condition is met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 0.89 ≥ 2.0 (which is also false). Therefore, no fraud indicators are present."
2024-06-22,2c4ca773,774458dc62474103b20f4ef6d8a3dfab,4847211,Home & Garden,Bank Transfer,Medan,74,39.36,4847211,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 1.88 is >= 2.0 (which is false)."
2023-03-06,6ef2bdcd,00c3d5ac493949e5935103d6060042c7,4880094,Sports,Debit Card,Bandung,47,87.04,4880094,0,"Neither condition is met. The first condition (0 != 0) is always false, and 0.54 is less than 2.0, so no fraud indicators are present."
2024-09-29,0d58e733,908d71ab9077440a9f23952a42a69f88,9674096,Electronics,Debit Card,Jakarta,66,23.0,9674096,1,"The transaction is fraudulent because the quantity (2.87) is greater than or equal to 2.0, meeting the second condition for fraud."
2023-11-10,54b31a84,dee333c8338f4d4c87c49ebe04eb3dff,7787377,Electronics,Credit Card,Medan,26,5.42,7787377,1,"The second condition is met because 4.8 is greater than or equal to 2.0, indicating a significant increase in quantity compared to the average, which could suggest fraudulent activity."
2023-05-14,a209b4c0,4371fd0763bf4a93b5bef6ded1d64357,2795032,Clothing,Bank Transfer,Surabaya,26,19.55,2795032,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.33 is less than 2.0 (no significant quantity increase)."
2024-05-02,bbbc6a85,22a0c8fabf1b45829549fd8f8e9f74b5,2141647,Clothing,PayPal,Surabaya,51,33.55,2141647,0,"Neither condition was met. The first condition (0 != 0) is impossible, and 1.52 is less than 2.0."
2024-10-25,5e64cba3,7e3656dec9af4a07b5579fc229f6b4f6,5032378,Clothing,Credit Card,Surabaya,35,33.98,5032378,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.03 is less than 2.0 (no significant quantity increase)."
2024-01-25,a3740af2,95bf0f48179e4af491fd9f01edc7d773,2386156,Electronics,PayPal,Bandung,33,49.25,2386156,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.67 is >= 2.0 (which is false). Therefore, no fraud indicators are present."
2025-01-22,910b10b7,0ee23c92b6a04b65b8bc882542b72ca8,4405465,Home & Garden,Debit Card,Surabaya,93,53.76,4405465,0,"Neither condition is met. 0 is always equal to 0, and 1.73 is less than 2.0."
2023-05-21,c3c5a179,e5b8d198799e48ff806a3342213cb19d,9343833,Clothing,Bank Transfer,Jakarta,29,19.59,9343833,0,"Neither condition was met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 1.48 >= 2.0 (which is false). Therefore, no fraud indicators were detected."
2025-07-24,f3e360d9,951dc0ee33724c20b8060c60fbfd5c73,8563274,Home & Garden,PayPal,Jakarta,95,74.22,8563274,0,"Neither condition is met. 0 is equal to 0 (no discrepancy), and 1.28 is less than 2.0 (no significant quantity increase)."
2021-06-19,249f5de7,327f9a885a8a49fb93e429b295a0b079,9377324,Home & Garden,PayPal,Medan,18,11.46,9377324,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.57 is less than 2.0 (no significant quantity increase)."
2023-06-27,53c21b4c,31e2407c760f451fb21dcfa9dcc93918,5965919,Electronics,Credit Card,Surabaya,36,33.33,5965919,0,"Neither condition was met. The value 0 is equal to 0, and 1.08 is less than 2.0."
2024-01-18,f71126b5,78b0b652b3b349a29189ae14ecd01e29,3179351,Clothing,Debit Card,Surabaya,95,62.5,3179351,0,"Neither condition is met. The first condition (0 ≠ 0) is impossible, and 1.52 is less than 2.0."
2022-09-18,9218e817,6b1c232d13bf422695f468b62d1a18d3,6228913,Clothing,Bank Transfer,Surabaya,89,48.63,6228913,0,Neither condition is met. 0 equals 0 (no discrepancy) and 1.83 is less than 2.0 (no significant quantity increase).
2023-06-30,5149d952,f817649344b64149b02aa71c1b1f0055,9157754,Groceries,PayPal,Surabaya,53,40.46,9157754,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 1.31 is >= 2.0 (which is false)."
2025-06-07,350510ed,96a42b392334400184602d72782f8906,5385646,Home & Garden,Debit Card,Surabaya,32,60.38,2692823,1,"The transaction is flagged as fraudulent because the value -2692823 is not equal to 0, indicating a discrepancy between expected and reported totals."
2024-10-29,65f0704f,1764a649d9fb49fbb5fefba3116e96fb,4717197,Clothing,Debit Card,Jakarta,4,4.4,4717197,0,"Neither condition was met. 0 equals 0, and 0.91 is less than 2.0."
2022-03-24,333cac3f,f8a1ebca078c4bc1aad3f5fb094c1203,7977517,Groceries,PayPal,Surabaya,90,116.88,7977517,0,"Neither condition was met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 0.77 >= 2.0 (which is false). Since neither condition indicates fraud, the transaction is classified as non-fraudulent."
2025-03-19,f483e71b,31738c5a2d594ac0944c1358c5ed66da,6524370,Clothing,Debit Card,Surabaya,48,87.27,6524370,0,"Neither condition is met. The first condition checks if 0 is not equal to 0, which is always false. The second condition checks if 0.55 is >= 2.0, which is also false. Therefore, no fraud indicators are present."
2025-07-19,ea7209d1,cdcc17f2009e45718990ba78f04b7fb0,4846735,Electronics,Credit Card,Jakarta,73,81.11,4846735,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.9 is less than 2.0 (no significant quantity increase)."
2021-04-19,bd328b14,d90a61442e944069a7b06791d989a987,7696979,Groceries,Debit Card,Bandung,86,44.33,7696979,0,"Neither condition was met. 0 equals 0, and 1.94 is less than 2.0."
2025-09-28,b88eebef,86077d0a2f7c4bdd9c19635e1f9d5fcd,5270327,Clothing,Debit Card,Bandung,27,6.98,3478415,1,Both conditions are met: -1791912 is not equal to 0 (indicating a discrepancy) and 3.87 is greater than or equal to 2.0 (suggesting a significant quantity increase).
2025-02-27,85b39bcf,ba1b31f8ccd44b58a82be69ee4fe7735,6830455,Groceries,Bank Transfer,Medan,85,55.92,6830455,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 1.52 is less than 2.0 (no significant quantity increase)."
2022-08-20,cd81f5b4,cd591790f36e48eb9d4c6ae62fb18329,6235800,Electronics,Bank Transfer,Bandung,11,7.86,6235800,0,"Neither condition was met. 0 is always equal to 0, and 1.4 is less than 2.0."
2021-01-01,c489e8ef,46114808815e4e95851f3123b0f0d60d,6907092,Electronics,Credit Card,Surabaya,38,45.78,6907092,0,"Neither condition is met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 0.83 >= 2.0 (which is false). Therefore, no fraud indicators are present."
2021-09-20,275e114f,8eb94473458d4b60b29e51fea39e33a1,5506856,Clothing,Bank Transfer,Semarang,20,16.13,5506856,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 1.24 is less than 2.0 (no significant quantity increase)."
2025-10-21,18d99c60,9a79a5ecbc514bdc80d203cdf48e51dd,4546296,Electronics,Credit Card,Surabaya,77,35.81,1682129,1,"Both conditions are met: -2864167 is not equal to 0 (indicating a discrepancy), and 2.15 is greater than or equal to 2.0 (suggesting a significant quantity increase)."
2021-02-19,0caae32f,4668defabc6045e0a71fd49b2098e3a6,3086194,Electronics,Credit Card,Semarang,81,81.82,3086194,0,"Neither condition was met. 0 is equal to 0, and 0.99 is less than 2.0."
2021-05-10,708752b2,452410acdbce477d97bc7fbce4492082,830791,Sports,PayPal,Semarang,28,40.0,830791,0,"Neither condition is met. The first condition (0 != 0) is logically impossible, and the second condition (0.7 >= 2.0) is false. Therefore, the transaction is not fraudulent."
2021-08-21,e22cf161,b9750f8969274578a04256ec8c9e87c8,414144,Clothing,Credit Card,Bandung,8,7.08,414144,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.13 is less than 2.0 (no significant quantity increase)."
2022-12-23,c6c895d9,65225a071e304d3298a63f759fb3cc22,770601,Clothing,Bank Transfer,Surabaya,31,31.0,770601,0,"Neither condition was met. The first condition (0 != 0) is logically impossible, and the second condition (1.0 >= 2.0) is false. Therefore, no fraud indicators were detected."
2021-06-15,4378c0fe,4f6f1dc475c040a89e8ab2559dbdb379,4784889,Clothing,Debit Card,Bandung,55,36.67,4784889,0,"Neither condition is met. 0 is always equal to 0, and 1.5 is less than 2.0. No discrepancies or anomalies detected."
2022-12-22,8a98b660,6b7be97042394d6eb66d426a17e6bfe6,1074017,Home & Garden,Debit Card,Jakarta,11,7.8,1074017,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is false), and the second condition checks if 1.41 is >= 2.0 (which is also false)."
2025-09-24,4be32ca3,51475c83d90a4746af4e41df97e2149c,9417869,Electronics,Debit Card,Surabaya,92,176.92,2919539,1,"The transaction has a discrepancy in totals (-6498330 ≠ 0), which meets the first fraud condition. The second condition (0.52 ≥ 2.0) was not met."
2024-06-24,24cde25b,08675f370d8246ca91af39996ceaa672,2943093,Home & Garden,Credit Card,Semarang,5,3.42,2943093,0,"Neither condition was met. The first condition (0 != 0) is always false, and 1.46 is less than 2.0, so no fraud indicators were found."
2022-09-21,a59b8504,b63d858d667c4011a6e574394acba8b7,27793,Groceries,Debit Card,Jakarta,64,33.51,27793,0,"Neither condition is met. The first condition checks if 0 ≠ 0 (which is false), and the second condition checks if 1.91 ≥ 2.0 (which is also false)."
2024-12-13,f292cdd7,17911621abc54b57884f7fb78b7b5976,2362554,Groceries,Credit Card,Bandung,3,2.59,2362554,0,"Neither condition was met. 0 equals 0, and 1.16 is less than 2.0."
2021-02-24,d8ac47f7,7cf5a826e1bf449984c58b3d3c737816,2985365,Groceries,Bank Transfer,Bandung,78,18.22,2985365,1,"The transaction is fraudulent because 4.28 is greater than or equal to 2.0, meeting condition 2."
2021-09-25,a9d85b63,09a01e76d5674fc2aaf9e6d0fe678a78,2907981,Sports,Debit Card,Bandung,63,53.85,2907981,0,"Neither condition was met. The value 0 is equal to 0 (no discrepancy), and 1.17 is less than 2.0 (no significant quantity increase)."
2024-06-02,df898a12,33ea4ee32df04bb29b33b7444091b282,8640300,Electronics,Debit Card,Semarang,2,1.04,8640300,0,"Neither condition was met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 1.92 >= 2.0 (which is false). Therefore, no fraud indicators were detected."
2023-12-16,28d4567e,361d4e13e4084d899db0cc570fd1fc25,5593595,Groceries,PayPal,Surabaya,77,42.31,5593595,0,Neither condition was met. 0 equals 0 (no discrepancy) and 1.82 is less than 2.0 (no significant quantity increase).
2024-03-10,7c2c9cd1,10b22c26d84245098ef6a49584ab2008,5825359,Groceries,Debit Card,Jakarta,95,166.67,5825359,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.57 is >= 2.0 (which is false). Therefore, no fraud indicators are present."
2025-07-09,b9afc29c,37e0d230d96b471b9e8e33db2c39f607,2507774,Clothing,Credit Card,Bandung,17,16.83,2507774,0,"Neither condition was met. The first condition (0 ≠ 0) is logically impossible, and 1.01 is less than 2.0, so no fraud indicators were found."
2021-11-25,efa735d9,03fc70b70ba84c30aa0d9c117dbcb494,49269,Clothing,PayPal,Medan,87,46.52,49269,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is false), and the second condition checks if 1.87 ≥ 2.0 (which is also false). Therefore, the transaction is not fraudulent."
2025-07-14,db4edcaf,a5f01bd3b2cb47cb969b305dd39f9ffa,8143272,Sports,PayPal,Medan,74,84.09,8143272,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.88 is less than 2.0 (no significant quantity increase)."
2021-07-19,ad1efed4,49335b22681448bd9f16d59975351c27,7442796,Sports,Bank Transfer,Jakarta,68,38.86,7442796,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.75 is less than 2.0 (no significant quantity increase)."
2024-12-20,ad05b9ca,fa78ccb8e46542fa90796b1927839970,2217244,Electronics,Debit Card,Jakarta,30,52.63,2217244,0,"Neither condition is met. The first condition (0 != 0) is always false, and 0.57 is less than 2.0."
2021-09-04,f43b60ef,31b6a1fedc5b4071af4c8e0cb299661f,7672162,Electronics,Bank Transfer,Medan,37,55.22,7672162,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.67 is >= 2.0 (which is false). Therefore, no fraud indicators were found."
2024-02-09,176564c9,539ffb312cf34de6bbfe46aae6fdeda5,1994432,Sports,Credit Card,Bandung,10,6.17,1994432,0,"Neither condition was met. 0 equals 0, and 1.62 is less than 2.0."
2022-08-29,06eb5052,7d4f81d077ae408b90e757a0250fcaaa,8383575,Groceries,PayPal,Surabaya,69,135.29,8383575,0,"Neither condition was met. The first condition (0 != 0) is logically impossible, and the second condition (0.51 >= 2.0) is false."
2022-02-28,6337fb6f,86690ecd36cf4ee587f36664d0dfc0d1,9448508,Home & Garden,Debit Card,Medan,6,4.76,9448508,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 1.26 ≥ 2.0 (which is also false). Therefore, no fraud indicators were detected."
2024-09-25,4099a83b,c42ead24762b4d32b842661fe3ae942b,283688,Electronics,PayPal,Jakarta,25,15.62,283688,0,"Neither condition is met. The first condition (0 != 0) is always false, and the second condition (1.6 >= 2.0) is also false. Therefore, there is no indication of fraud."
2025-01-18,549562bc,d9abad37f14746a1a00933aa3f97cd8b,8528034,Home & Garden,Debit Card,Bandung,12,9.02,8528034,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is false), and the second condition checks if 1.33 is >= 2.0 (which is also false)."
2025-10-25,ed3088a9,da2de2bf9f2f448c85f08e1b3067c530,6118204,Groceries,Bank Transfer,Bandung,88,59.06,4099196,1,"The value -2019008 is not equal to 0, indicating a discrepancy between expected and reported transaction totals, which is a strong indicator of potential fraud."
2023-08-10,7e415b23,f304ccb36c784e3f97b0e35591ee385c,7207844,Clothing,Bank Transfer,Bandung,15,8.62,7207844,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 1.74 is >= 2.0 (which is false)."
2023-07-01,c6ef9a23,b9167c0293b04c85a2a8a0ac04c5d170,5228637,Clothing,Debit Card,Bandung,83,45.6,5228637,0,Neither condition is met. 0 equals 0 (no discrepancy) and 1.82 is less than 2.0 (no significant quantity increase).
2023-01-16,01edbbcc,3db2af3245be4b75935fbfff2b7bbd89,8300048,Sports,PayPal,Medan,57,30.98,8300048,0,"Neither condition was met. The value 0 is equal to 0, and 1.84 is less than 2.0."
2023-10-09,df636b99,a3ee46bdacfb4e3895db415e8d7a0dc6,5904180,Clothing,Debit Card,Bandung,24,16.78,5904180,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.43 is less than 2.0 (no significant quantity increase)."
2022-03-09,d7462457,3029079ccf4c48c98fdc58621028fda6,3032428,Groceries,Bank Transfer,Surabaya,24,13.71,3032428,0,"Neither condition is met. 0 equals 0, and 1.75 is less than 2.0."
2025-10-31,6c154449,df41330eb7c643b693f96ec5d0e9093e,7445880,Clothing,Debit Card,Medan,29,11.74,7445880,1,"The transaction meets the second condition (2.47 >= 2.0), indicating potential fraud."
2021-10-30,48175330,32f9701f8ce44191aff046fedb581c9c,6429144,Groceries,Bank Transfer,Surabaya,39,37.86,6429144,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.03 is less than 2.0 (no significant quantity increase)."
2024-11-15,e9333c7c,3cc21495b46248979f5c45cefb3a19d4,9512795,Clothing,Credit Card,Surabaya,16,17.98,9512795,0,"Neither condition was met. 0 is equal to 0, and 0.89 is less than 2.0."
2021-04-11,7256d7b9,b9df0f4d8d304e8caec63fad73f18e2e,6503783,Groceries,Debit Card,Jakarta,65,39.88,6503783,0,"Neither condition is met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 1.63 ≥ 2.0 (which is false). Therefore, no fraud indicators are present."
2023-02-25,478ce54e,55bc561622b74b1c8907fd5ced5763a9,7696081,Electronics,Bank Transfer,Bandung,40,25.97,7696081,0,"Neither condition is met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 1.54 >= 2.0 (which is false). Therefore, no fraud indicators are present."
2021-04-03,4de109fb,c916c0fb087b4adda2af888402e5b456,6019962,Electronics,Credit Card,Jakarta,11,7.1,6019962,0,"Neither condition was met. 0 equals 0, and 1.55 is less than 2.0."
2025-10-14,f8170af4,c890e235578a4a6dbc07989fa8e2cad4,6346212,Electronics,PayPal,Bandung,17,20.73,6346212,0,"Neither condition was met. The value 0 is equal to 0, and 0.82 is less than 2.0."
2023-12-01,999704ef,6d58ead55ddb42eb96a536361516b62b,2337136,Clothing,Bank Transfer,Jakarta,63,90.0,2337136,0,"Neither condition was met. 0 equals 0, and 0.7 is less than 2.0."
2022-09-02,25d606bd,acfb5e0c3a764b8e8a8606aaae321e90,6975155,Electronics,Bank Transfer,Bandung,74,25.87,697515,1,Both conditions are met: -6277640 is not equal to 0 (indicating a discrepancy) and 2.86 is greater than or equal to 2.0 (suggesting a significant quantity increase).
2021-03-17,c3f3177a,214dd6a9779249b99228e74654e8c920,4249824,Groceries,Debit Card,Jakarta,67,93.06,4249824,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.72 is less than 2.0 (no significant quantity increase)."
2025-07-01,e30500b8,96b778316ab04a0c98957d1d0d94e6a6,1309294,Clothing,Credit Card,Bandung,100,98.04,1309294,0,"Neither condition is met. The first condition (0 != 0) is always false, and the second condition (1.02 >= 2.0) is also false. Therefore, the transaction is not fraudulent."
2024-04-17,c838a562,3b0cd8f40baa4599aef0602465d52579,5067487,Electronics,Credit Card,Jakarta,63,50.0,5067487,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 1.26 is >= 2.0 (which is false). Since neither condition indicates fraud, the transaction is classified as non-fraudulent."
2023-09-29,be62cf07,70194b48047545158e53b250120b9459,5565335,Clothing,Credit Card,Jakarta,76,47.2,5565335,0,Neither condition is met. 0 equals 0 (no discrepancy) and 1.61 is less than 2.0 (no significant quantity increase).
2023-01-02,7c10db2b,fdee4d35701c42c285ffb4a0cca85bf2,653047,Home & Garden,Debit Card,Bandung,65,36.93,653047,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.76 is less than 2.0 (no significant quantity increase)."
2023-12-14,d0c6e622,6a55970c53674c41937b9cba25bf210d,3808640,Groceries,Credit Card,Jakarta,66,14.54,3808640,1,"The transaction is fraudulent because the quantity (4.54) is greater than or equal to 2.0, meeting condition 2."
2021-04-07,2a81bfb0,3eb39fc0b9af453ebdbcb69d43c46753,7504529,Groceries,Credit Card,Bandung,31,48.44,7504529,0,"Neither condition was met. The first condition (0 != 0) is always false, and the second condition (0.64 >= 2.0) is also false."
2024-05-21,da9432a4,82b85a8de0ed47aeae462c3c4e50c511,2074177,Home & Garden,Debit Card,Bandung,4,4.88,2074177,0,"Neither condition was met. The value 0 is equal to 0, and 0.82 is less than 2.0."
2024-01-03,9f2162cc,21bc49267a78488880cfd300199901d7,2982169,Clothing,Bank Transfer,Semarang,47,43.52,2982169,0,"Neither condition was met. The value 0 equals 0, and 1.08 is less than 2.0, so no fraud indicators are present."
2021-12-29,415c1a35,9bfac5dd511049a8bc3cc764ddb348e0,3677786,Clothing,Bank Transfer,Medan,42,65.62,3677786,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is false), and the second condition checks if 0.64 ≥ 2.0 (which is also false)."
2025-09-30,07063fd2,8a71c232eea049eb842f934a4c751b30,7933902,Electronics,Debit Card,Surabaya,10,8.2,7933902,0,"Neither condition was met. The value 0 is equal to 0, and 1.22 is less than 2.0."
